,Major,Minor,SalePrice,Address,BuildingNumber,StreetName,ZipCode,Stories,BldgGrade,SqFt1stFloor,SqFtHalfFloor,SqFt2ndFloor,SqFtUpperFloor,SqFtTotLiving,SqFtTotBasement,SqFtFinBasement,FinBasementGrade,SqFtGarageBasement,SqFtGarageAttached,DaylightBasement,SqFtOpenPorch,SqFtEnclosedPorch,SqFtDeck,HeatSystem,HeatSource,Bedrooms,BathHalfCount,Bath3qtrCount,BathFullCount,FpSingleStory,FpMultiStory,FpFreestanding,FpAdditional,YrBuilt,YrRenovated,Condition,Township,Section,QuarterSection,Area,SubArea,DistrictName,SqFtLot,WaterSystem,SewerSystem,Access,InadequateParking,LotDepthFactor,TrafficNoise,DocumentDate,Date
82545,383230,70,380000,25628   45TH AVE S  98032,25628,45TH                     ,98032,1.0,7,1200,0,0,0,1200,0,0,0,0,0, ,80,0,0,4,3,3,0,0,1,1,0,0,0,1967,0,4,22,22,SE,26.0,7.0,KENT,8400,2,2,4,0,0,0,11/21/2019,2019
82603,383400,290,590000,13741   37TH AVE NE  98125,13741,37TH                     ,98125,1.0,5,660,0,0,0,1320,660,660,5,0,0,Y,0,0,200,5,2,2,0,1,1,0,0,0,0,1930,0,5,26,22,NW,8.0,1.0,SEATTLE,8145,2,2,4,0,0,0,06/20/2019,2019
82614,385690,3245,650000,2324  N 57TH ST   98103,2324 ,57TH                     ,98103,1.0,6,860,0,0,0,860,0,0,0,0,0, ,70,0,200,5,2,2,0,0,1,0,0,0,0,1908,0,3,25,8,NW,43.0,5.0,SEATTLE,3000,2,2,4,2,0,0,03/12/2019,2019
82627,259900,330,300000,2125   HEMLOCK ST SE  98092,2125 ,HEMLOCK                  ,98092,1.0,7,1090,0,0,0,1090,0,0,0,0,500,N,0,0,0,5,2,3,0,0,1,0,0,0,0,1963,0,3,21,20,SE,28.0,10.0,AUBURN,8625,2,2,4,2,0,0,03/14/2019,2019
82640,383960,55,500000,8429   37TH AVE S  98118,8429 ,37TH                     ,98118,1.0,7,1330,0,0,0,1330,0,0,0,0,400,N,60,0,0,5,2,4,0,0,2,1,0,0,0,1961,0,4,24,34,NW,21.0,7.0,SEATTLE,6670,2,2,4,2,0,0,07/01/2019,2019
82650,386150,340,407000,2401  S 359TH ST   98003,2401 ,359TH                    ,98003,1.0,7,1580,0,0,0,1580,0,0,0,0,440, ,0,0,80,5,2,3,0,1,1,1,0,0,0,1988,0,5,21,28,NE,55.0,15.0,KING COUNTY,6620,2,2,4,2,0,0,08/05/2019,2019
82676,387600,1330,765000,13401   116TH AVE NE  98034,13401,116TH                    ,98034,1.0,7,1810,0,0,0,1810,0,0,0,0,480,N,80,0,350,5,2,3,0,1,1,1,0,0,0,1966,0,4,26,20,SE,73.0,5.0,KIRKLAND,7200,2,2,4,2,0,1,05/31/2019,2019
82682,387620,820,685000,11870  NE 142ND PL   98034,11870,142ND                    ,98034,1.0,7,1370,0,0,0,2150,1320,780,7,540,0,Y,0,0,0,5,2,6,0,1,2,0,1,0,1,1967,0,4,26,21,NW,73.0,5.0,KIRKLAND,7420,2,2,4,2,0,0,07/23/2019,2019
82724,258789,40,527500,17614  SE 296TH ST   98042,17614,296TH                    ,98042,1.0,7,1880,0,0,0,1880,0,0,0,0,0, ,0,0,280,5,3,3,0,2,1,1,0,0,0,1973,0,5,21,1,NE,58.0,5.0,KING COUNTY,18307,2,1,4,2,0,0,02/13/2019,2019
82730,259180,870,490000,18701   134TH AVE SE  98058,18701,134TH                    ,98058,1.0,8,1340,0,0,0,1960,1300,620,8,440,140,Y,40,0,140,5,2,3,1,1,1,0,1,0,1,1981,0,3,23,34,SW,51.0,6.0,KING COUNTY,10220,2,2,4,2,0,0,04/23/2019,2019
82732,259181,370,462500,18517   135TH PL SE  98058,18517,135TH                    ,98058,1.0,8,1600,0,0,0,2490,1480,890,7,590,0,Y,90,0,120,5,2,3,0,1,2,1,0,0,0,1983,0,4,23,34,SW,51.0,6.0,KING COUNTY,6600,2,2,4,2,0,0,11/12/2019,2019
82740,386271,260,635000,37602  SE FURY ST   ,37602,FURY                     ,,2.0,8,740,0,1060,0,1800,0,0,0,0,300, ,40,0,0,5,2,3,1,0,2,1,0,0,0,2014,0,3,24,30,SW,75.0,10.0,SNOQUALMIE,3331,2,2,4,0,0,0,10/28/2019,2019
82749,386144,200,433000,35925   23RD PL S  98003,35925,23RD                     ,98003,2.0,7,1010,0,780,0,1790,0,0,0,0,440, ,0,0,0,5,2,4,1,1,1,0,1,0,1,1988,0,4,21,28,NW,55.0,15.0,KING COUNTY,10327,2,2,4,2,0,0,12/02/2019,2019
82750,386145,150,374000,35449   27TH AVE S  98003,35449,27TH                     ,98003,2.0,7,800,0,660,0,1460,0,0,0,0,480, ,100,0,0,5,2,3,1,1,1,0,1,0,1,1987,0,4,21,28,NE,55.0,15.0,KING COUNTY,7748,2,2,4,2,0,0,03/15/2019,2019
82787,386500,10,375000,26618   134TH AVE SE  98042,26618,134TH                    ,98042,1.0,7,1520,0,0,0,1520,0,0,0,0,360, ,0,0,0,4,3,3,0,1,1,1,0,0,0,1984,0,4,22,27,SW,61.0,6.0,KENT,8816,2,2,4,0,0,0,03/19/2019,2019
82791,386990,137,675000,7016 B  CALIFORNIA AVE SW  98136,7016 ,CALIFORNIA               ,98136,3.0,9,570,0,590,430,1590,0,0,0,0,0,N,0,0,0,5,2,3,0,1,1,0,0,0,0,2014,0,3,24,26,NE,17.0,1.0,SEATTLE,926,2,2,4,0,0,0,08/13/2019,2019
82829,387490,95,920000,6308   36TH AVE SW  98126,6308 ,36TH                     ,98126,2.0,9,1380,0,1800,0,3180,490,0,0,0,480,N,100,0,0,7,2,4,0,0,3,0,0,0,0,2018,0,3,24,26,NE,48.0,3.0,SEATTLE,7774,2,2,4,0,0,0,02/13/2019,2019
82838,259172,50,628000,25147   238TH AVE SE  98038,25147,238TH                    ,98038,2.0,9,1280,0,940,0,2220,0,0,0,0,720,N,60,0,290,5,2,3,1,0,2,0,1,0,0,1990,0,4,22,22,SE,56.0,4.0,MAPLE VALLEY,35014,2,1,4,0,0,0,08/07/2019,2019
82852,385690,5661,870000,5435   KENSINGTON PL N  ,5435 ,KENSINGTON               ,,3.0,7,336,0,570,518,1424,0,0,0,0,216, ,52,0,0,4,3,2,1,1,1,0,0,0,0,2012,0,3,25,8,NW,43.0,5.0,SEATTLE,1050,2,2,4,2,0,0,04/15/2019,2019
82854,386144,60,374000,35738   23RD PL S  98003,35738,23RD                     ,98003,2.0,7,990,0,670,0,1660,0,0,0,0,460, ,0,0,100,5,2,3,1,1,1,0,1,0,1,1988,0,3,21,28,NW,55.0,15.0,KING COUNTY,8399,2,2,4,2,0,0,03/26/2019,2019
82857,384510,40,499950,5507   CHARLOTTE AVE SE  ,5507 ,CHARLOTTE                ,,2.0,8,1100,0,1520,0,2620,0,0,0,0,480,N,170,0,0,5,2,3,0,1,2,1,0,0,0,2015,0,3,21,32,SE,87.0,18.0,AUBURN,4500,2,2,4,2,0,0,02/15/2019,2019
82865,385690,195,1079000,5916   LATONA AVE NE  98105,5916 ,LATONA                   ,98105,1.5,8,1230,920,0,0,3150,1230,1000,7,230,0, ,0,0,0,5,2,4,0,1,2,0,1,0,1,1910,0,3,25,8,NW,43.0,5.0,SEATTLE,3000,2,2,4,2,0,1,09/19/2019,2019
82906,384510,690,471900,2639   55TH ST SE  ,2639 ,55TH                     ,,2.0,8,960,0,1460,0,2420,0,0,0,0,470,N,160,0,0,5,2,5,0,1,2,1,0,0,0,2016,0,3,21,32,SE,87.0,18.0,AUBURN,4158,2,2,4,2,0,0,07/08/2019,2019
82909,384510,1430,505000,5530   ELAINE AVE SE  ,5530 ,ELAINE                   ,,2.0,9,1150,0,1510,0,2660,0,0,0,0,400,N,380,0,0,5,2,4,1,0,2,2,0,0,0,2015,0,3,21,32,SE,87.0,18.0,AUBURN,4500,2,2,4,2,0,0,02/22/2019,2019
